decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;aggressionWeight;timeFollowingWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;successfulHunts;abandonedChases;timeSpentFollowing;totalFoodForPrey;totalFoodForPredator
0;1,0005;Predator;7;100,9147;100,0000;0,8879;0,9704;0,1629;0,1048;0,1698;0,5111;2,2687;2,3270;2,3270;7;1,2945;0,7052;0,6638;0,5825;3,0000;0,4756;0,3794;0,9582;0;12,5061;0;0;0,0000;336;40
1;2,0005;Predator;8;101,0526;100,0000;0,8871;0,9263;0,0000;0,1340;0,0080;0,7773;3,0840;1,9290;1,9290;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;12,5005;0;0;0,0000;336;40
2;3,0010;Predator;8;100,9505;100,0000;0,8486;0,8880;0,0000;0,1340;0,0080;0,7773;3,0840;1,9290;1,9290;9;2,6605;0,6349;0,8488;0,6334;2,0000;0,4934;0,4867;0,7140;0;12,5058;0;0;0,0000;336;40
3;4,0012;Predator;2;101,2502;100,0000;0,7314;0,7617;0,0000;0,0000;0,0000;0,7790;3,0920;1,1382;1,1382;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;12,5022;0;0;0,0000;336;40
4;5,0234;Predator;2;101,2777;100,0000;0,6818;0,7334;0,0000;0,0000;0,0000;0,7790;3,0920;1,1382;1,1382;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;12,7774;0;0;0,0000;336;40
5;6,0929;Predator;2;101,3369;100,0000;0,6298;0,7039;0,0000;0,0000;0,0000;0,7790;3,0920;1,1382;1,1382;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;13,3693;0;0;0,0000;336;40
6;7,0942;Predator;0;101,2516;100,0000;0,6860;0,7257;0,0000;0,0000;0,0456;0,7639;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;12,5161;0;0;0,0000;336;40
7;8,1485;Predator;0;101,3179;100,0000;0,6400;0,7000;0,0000;0,0000;0,0456;0,7639;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,1789;0;0;0,0000;336;40
8;9,2049;Predator;0;101,3205;100,0000;0,5895;0,6744;0,0000;0,0000;0,0456;0,7639;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,2051;0;0;0,0000;336;40
9;10,2512;Predator;0;101,3078;100,0000;0,5411;0,6489;0,0000;0,0000;0,0456;0,7639;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,0780;0;0;0,0000;336;40
10;11,3052;Predator;0;101,3176;100,0000;0,4901;0,6233;0,0000;0,0000;0,0456;0,7639;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,1758;0;0;0,0000;336;40
11;12,3595;Predator;4;123,6445;100,0000;0,9834;0,6892;0,3404;0,0000;0,3602;0,7619;2,7272;2,3380;0,2173;6;2,1520;0,9283;0,5294;0,9720;2,0000;0,2542;0,5288;0,9189;0;13,1785;1;0;8,6276;335;38
12;13,4476;Predator;0;101,3602;100,0000;0,3899;0,5711;0,0000;0,0000;0,3721;0,7639;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,6018;0;0;0,0000;330;38
13;14,5250;Predator;2;124,1521;100,0000;0,9810;0,4720;0,0000;0,0000;0,0000;0,7648;3,0920;1,1382;0,4773;7;4,9094;0,9214;0,6631;1,1335;2,0000;0,4750;0,5885;0,9202;0;13,4673;1;0;7,3154;326;37
14;15,5441;Predator;9;123,1997;100,0000;1,0000;0,5019;0,0000;0,0000;0,0000;0,7652;3,9802;2,2813;0,0000;5;0,6114;0,8178;0,5760;0,7207;3,0000;0,4875;0,5356;0,6998;0;12,7384;1;0;10,2472;320;35
15;16,6091;Predator;0;125,9548;100,0000;0,9652;0,4939;0,1108;0,0000;0,0338;0,7674;3,3398;1,5546;1,5546;9;3,8768;0,7753;0,5838;0,7272;2,0000;0,4129;0,5028;0,6860;0;13,3123;1;0;1,0617;319;34
16;17,6263;Predator;3;123,5948;100,0000;0,9810;0,9459;0,1816;0,8350;0,0367;0,7669;4,3807;1,6157;0,5722;9;3,3591;0,7618;0,8924;1,1370;2,0000;0,2401;0,3850;0,8684;0;12,7147;1;0;5,7410;312;33
