decisionGeneration;totalSimulationHours;animalType;animalId;fitness;hp;hunger;thirst;hungerWeight;thirstWeight;fearWeight;hideSeekingWeight;riskTolerance;explorationWeight;speed;maxStamina;currentStamina;sightRange;tempResist;hungerDecreasingSpeed;thirstDecreasingSpeed;breedingCooldownMultiplyer;fertility;swimAbility;eatNeed;fatSave;childrenCount;timeAliveInGeneration;timeSpentHiding;timesEnteredShelter;predatorEncounters;totalFoodForPrey;totalFoodForPredator
0;1,0005;Prey;9;99,5233;100,0000;0,9556;0,8926;0,3599;0,0183;0,0972;0,1952;0,0000;0,0424;4,1672;1,3651;1,3651;7;2,3777;0,6630;0,5769;1,1055;6,0000;0,4883;0,3568;0,5842;0;12,5061;0,0000;0;0;336;40
1;2,0005;Prey;38;99,3197;100,0000;0,8731;0,7400;0,0000;0,0000;0,0468;0,2766;0,0000;0,2559;4,0821;1,9098;1,9098;6;2,5220;0,6317;0,8819;0,7759;5,0000;0,5742;0,3871;0,5664;0;12,5005;0,0000;0;0;336;40
2;3,0010;Prey;12;99,6307;100,0000;0,8143;0,7845;0,0000;0,0000;0,6616;0,6867;0,0073;0,8787;4,0998;1,1579;1,1579;5;1,1484;0,8744;0,9826;0,6540;5,0000;0,3635;0,5824;0,5406;0;12,5058;0,0000;0;0;336;40
3;4,0012;Prey;12;99,6304;100,0000;0,7707;0,7394;0,0000;0,0000;0,6616;0,6867;0,0073;0,8787;4,0998;1,1579;1,1579;5;1,1484;0,8744;0,9826;0,6540;5,0000;0,3635;0,5824;0,5406;0;12,5022;0,0000;0;0;336;40
4;5,0234;Prey;33;100,1794;100,0000;0,7935;0,8356;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,7774;0,0000;0;0;336;40
5;6,0929;Prey;33;100,2386;100,0000;0,7608;0,8019;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,3693;0,0000;0;0;336;40
6;7,0942;Prey;33;100,1533;100,0000;0,7301;0,7711;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,5161;0,0000;0;0;336;40
7;8,1485;Prey;33;100,2196;100,0000;0,6978;0,7381;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,1789;0,0000;0;0;336;40
8;9,2049;Prey;33;100,2222;100,0000;0,6652;0,7075;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,2051;0,0000;0;0;336;40
9;10,2512;Prey;33;100,2095;100,0000;0,6330;0,6772;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,0780;0,0000;0;0;336;40
10;11,3052;Prey;33;100,2193;100,0000;0,6008;0,6463;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,1758;0,0000;0;0;336;40
11;12,3595;Prey;33;100,5049;100,0000;0,5685;0,6151;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,1785;0,0000;0;0;335;38
12;13,4476;Prey;33;100,4570;100,0000;0,5353;0,5831;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,6018;0,0000;0;0;330;38
13;14,5250;Prey;33;100,5304;100,0000;0,5023;0,5514;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,4673;0,0000;0;0;326;37
14;15,5441;Prey;33;100,6854;100,0000;0,4711;0,5214;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;12,7384;0,0000;0;0;320;35
15;16,6091;Prey;33;100,9072;100,0000;0,4385;0,4902;0,0000;0,0000;0,6728;0,9600;0,0075;0,8580;2,4405;1,2586;1,2586;5;1,5852;0,5454;0,6945;1,0907;7,0000;0,5737;0,3290;0,6742;0;13,3123;0,0000;0;0;319;34
